gene_id	coloc	SMR.b	SMR.se	SMR.p	fastenloc	ecaviar	TWAS.Z	TWAS.P	PrediXcan.Z	PrediXcan.P	SMR.z	IS_POSITIVE
ENSG00000145817	0.1017	-0.0293586	0.104676	0.7791	0.031	0.0018	0.0114	0.9909	-0.2051443373450727	0.8375	-0.2804711681760862	0
ENSG00000248323	0.1577	-0.308321	0.171117	0.07157	0.1697	0.0027	-1.883	0.0597	0.0	1.0	-1.8018139635454107	0
ENSG00000221886	0.012	0.188626	0.285043	0.5081	0.0008	0.0015	0.0	1.0	0.0	1.0	0.661745771690587	1
ENSG00000249364	0.0857	-0.22348	0.141091	0.1132	0.0534	0.0019	-1.187	0.2351	-1.6210355758666994	0.105	-1.5839422783877073	0
ENSG00000168724	0.2267	-0.273972	0.139963	0.05029	0.1351	0.0037	-2.0259	0.04277	-2.316203739298145	0.02055	-1.957460185906275	1
ENSG00000272057	0.0459	-0.063194	0.0801217	0.4303	0.072	0.0015	-0.756	0.449	-0.829863429069519	0.4066	-0.7887251518627287	0
ENSG00000138829	0.0643	0.140825	0.126517	0.2657	0.0502	0.0019	0.256	0.798	1.022258130244336	0.3067	1.1130915212975332	0
ENSG00000113716	0.0808	-0.0110738	0.0702914	0.8748	0.0326	0.0018	-0.686	0.4926	-0.7328804343518404	0.4636	-0.1575413208443707	0
ENSG00000113575	0.0128	-0.0632308	0.311616	0.8392	0.0004	0.0017	0.0	1.0	0.0	1.0	-0.20291255904703226	0
ENSG00000170464	0.0864	0.0453195	0.103148	0.6604	0.0425	0.0021	0.0673	0.946	0.1854286850276742	0.8529	0.43936382673440105	0
ENSG00000146083	0.0469	0.284166	0.190122	0.135	0.0016	0.0014	1.008	0.3133	1.075070658373141	0.2823	1.4946508031684915	0
ENSG00000079215	0.0398	-0.0303732	0.0685381	0.6577	0.0663	0.0016	-0.224	0.822	-0.4399362802635247	0.66	-0.44315789320100785	0
ENSG00000254042	0.0661	0.107795	0.0997539	0.2799	0.0575	0.0016	1.06	0.291	0.0	1.0	1.0806093796834009	0
ENSG00000145864	0.0657	-0.327587	0.37892	0.3873	0.0003	0.0016	0.0	1.0	0.0	1.0	-0.8645281325873536	0
ENSG00000113504	0.1508	-0.249933	0.142708	0.07989	0.1601	0.0022	-1.89	0.059	-1.888488531112671	0.05896	-1.7513594192336799	0
ENSG00000131459	0.4106	-0.476192	0.186538	0.01069	0.501	0.0051	-3.0276	0.00247	0.0	1.0	-2.552788171847023	1
ENSG00000272109	0.075	0.146998	0.1143	0.1984	0.0545	0.0021	1.441	0.1495	1.4297409760210742	0.1528	1.286071741032371	0
ENSG00000173221	0.9847	0.376779	0.09172	3.992e-05	0.9458	0.0732	4.356	1.32e-05	4.539303302764892	5.644e-06	4.1079262974269515	1
ENSG00000164512	0.056	0.166722	0.165785	0.3146	0.0926	0.0015	0.885	0.376	0.5473198890686035	0.5842	1.005651898543294	0
