gene_id	coloc	SMR.b	SMR.se	SMR.p	fastenloc	ecaviar	TWAS.Z	TWAS.P	PrediXcan.Z	PrediXcan.P	SMR.z	IS_POSITIVE	smrqvalue	twasqvalue	predixcanqvalue
ENSG00000145817	0.1017	-0.0293586	0.104676	0.7791	0.05735	0.0018	0.0114	0.9909	-0.205144337345073	0.8375	-0.280471168176086	0	0.13605031990378602	0.0	0.0
ENSG00000248323	0.1577	-0.308321	0.171117	0.07157	0.1704	0.0027	-1.883	0.0597	0.0	1.0	-1.80181396354541	0	0.612192450777154	0.577154437869822	0.0
ENSG00000221886	0.012	0.188626	0.285043	0.5081	0.0009288	0.0015	0.0	1.0	0.0	1.0	0.661745771690587	1	0.22021755684544597	0.0	0.0
ENSG00000249364	0.0857	-0.22348	0.141091	0.1132	0.06538	0.0019	-1.187	0.2351	-1.6210355758667	0.105	-1.58394227838771	0	0.510980008523238	0.184305217391304	0.248002352941176
ENSG00000168724	0.2267	-0.273972	0.139963	0.05029	0.1389	0.0037	-2.0259	0.04277	-2.31620373929815	0.02055	-1.95746018590628	1	0.6788455030238589	0.6469262758620691	0.7437671875
ENSG00000272057	0.0459	-0.063194	0.0801217	0.4303	0.07423	0.0015	-0.756	0.449	-0.829863429069519	0.4066	-0.788725151862729	0	0.261927661610295	0.0	0.0
ENSG00000138829	0.0643	0.140825	0.126517	0.2657	0.07613	0.0019	0.256	0.798	1.02225813024434	0.3067	1.11309152129753	0	0.36526983666702795	0.0	0.0
ENSG00000113716	0.0808	-0.0110738	0.0702914	0.8748	0.05727	0.0018	-0.686	0.4926	-0.73288043435184	0.4636	-0.157541320844371	0	0.11808980310737904	0.0	0.0
ENSG00000113575	0.0128	-0.0632308	0.311616	0.8392	0.000544	0.0017	0.0	1.0	0.0	1.0	-0.202912559047032	0	0.124227999025592	0.0	0.0
ENSG00000170464	0.0864	0.0453195	0.103148	0.6604	0.07561	0.0021	0.0673	0.946	0.185428685027674	0.8529	0.439363826734401	0	0.17158245454196996	0.0	0.0
ENSG00000146083	0.0469	0.284166	0.190122	0.135	0.002272	0.0014	1.008	0.3133	1.07507065837314	0.2823	1.49465080316849	0	0.47534561993880997	0.094318072289157	0.0
ENSG00000079215	0.0398	-0.0303732	0.0685381	0.6577	0.133	0.0016	-0.224	0.822	-0.439936280263525	0.66	-0.443157893201008	0	0.17158245454196996	0.0	0.0
ENSG00000254042	0.0661	0.107795	0.0997539	0.2799	0.06681	0.0016	1.06	0.291	0.0	1.0	1.0806093796834	0	0.36033470460899597	0.12038636363636401	0.0
ENSG00000145864	0.0657	-0.327587	0.37892	0.3873	0.0002918	0.0016	0.0	1.0	0.0	1.0	-0.864528132587354	0	0.29206669395666895	0.0	0.0
ENSG00000113504	0.1508	-0.249933	0.142708	0.07989	0.164	0.0022	-1.89	0.059	-1.88848853111267	0.05896	-1.75135941923368	0	0.586948294776263	0.5789124999999999	0.47233738805970105
ENSG00000131459	0.4106	-0.476192	0.186538	0.01069	0.5171	0.0051	-3.0276	0.00247	0.0	1.0	-2.55278817184702	1	0.881564220566446	0.9664023863636364	0.0
ENSG00000272109	0.075	0.146998	0.1143	0.1984	0.08187	0.0021	1.441	0.1495	1.42974097602107	0.1528	1.28607174103237	0	0.415046549789138	0.32499999999999996	0.13725660377358495
