"gene_id"	"coloc"	"SMR.b"	"SMR.se"	"SMR.p"	"fastenloc"	"ecaviar"	"TWAS.Z"	"TWAS.P"	"PrediXcan.Z"	"PrediXcan.P"	"SMR.z"	"IS_POSITIVE"	"smrqvalue"	"twasqvalue"	"predixcanqvalue"	"intact_coloc_predixcan"	"intact_coloc_smr"	"intact_coloc_twas"	"intact_fastenloc_predixcan"	"intact_fastenloc_smr"	"intact_fastenloc_twas"	"intact_ecaviar_predixcan"	"intact_ecaviar_smr"	"intact_ecaviar_twas"	"intact_classmax"	"intact_classmean"
"ENSG00000145817"	0.1017	-0.0293586	0.104676	0.7791	0.05735	0.0018	0.0114	0.9909	-0.205144337345073	0.8375	-0.280471168176086	0	0.136050319903786	0	0	0.00191840684874531	0.00141577935465112	0.00208982296293085	0.00123837188117835	0.000914112229391461	0.0013489001423654	0.000713731208597519	0.000526932920741638	0.00077737845520734	0.00239125093871107	0.000245555420353972
"ENSG00000248323"	0.1577	-0.308321	0.171117	0.07157	0.1704	0.0027	-1.883	0.0597	0	1	-1.80181396354541	0	0.612192450777154	0.577154437869822	0	0.00326972824465593	0.00766068188103976	0.0129493763435131	0.00369853668791458	0.00865816631041032	0.0146304111718268	0.000709582841238245	0.00167075626447316	0.00283009676762945	0.0162707245521302	0.00087022569674059
"ENSG00000221886"	0.012	0.188626	0.285043	0.5081	0.0009288	0.0015	0	1	0	1	0.661745771690587	1	0.220217556845446	0	0	0.00077828091805379	0.000661881394734706	0.000860270580167886	0.000697199442211114	0.000592947493063901	0.000770639729793164	0.000701169354985276	0.000596322750016244	0.000775028195648417	0.00111714805857293	0.000140335945565373
"ENSG00000249364"	0.0857	-0.22348	0.141091	0.1132	0.06538	0.0019	-1.187	0.2351	-1.6210355758667	0.105	-1.58394227838771	0	0.510980008523238	0.184305217391304	0.248002352941176	0.00414348970023045	0.0028923834301337	0.00294298477313092	0.00339171179975016	0.00236746955138089	0.00240833344158421	0.00180907118369566	0.00126261311939628	0.00128378482540461	0.00509560515729845	0.000513372645754322
"ENSG00000168724"	0.2267	-0.273972	0.139963	0.05029	0.1389	0.0037	-2.0259	0.04277	-2.31620373929815	0.02055	-1.95746018590628	1	0.678845503023859	0.646926275862069	0.7437671875	0.0439694613496065	0.0183165066817495	0.030543155803106	0.0192878598665573	0.00793240375173361	0.0132824791277024	0.00514050945106887	0.00209877432910137	0.00352254302391624	0.0537014510175711	0.00298911995348323
"ENSG00000272057"	0.0459	-0.063194	0.0801217	0.4303	0.07423	0.0015	-0.756	0.449	-0.829863429069519	0.4066	-0.788725151862729	0	0.261927661610295	0	0	0.00138921665799586	0.000988830575069376	0.00147308097458579	0.00183841586432041	0.00130846484994085	0.00194950132732951	0.000894208989784813	0.000636543325319222	0.000948134989268985	0.00226186592378497	0.000257783143234818
"ENSG00000138829"	0.0643	0.140825	0.126517	0.2657	0.07613	0.0019	0.256	0.798	1.02225813024434	0.3067	1.11309152129753	0	0.365269836667028	0	0	0.00189213843119471	0.00147820204568258	0.0014784612557439	0.00212662428968995	0.00166131748972422	0.00166182846505593	0.00101935159250149	0.000796481547522983	0.000796229405315597	0.00280420670384428	0.000285068830415773
"ENSG00000113716"	0.0808	-0.0110738	0.0702914	0.8748	0.05727	0.0018	-0.686	0.4926	-0.73288043435184	0.4636	-0.157541320844371	0	0.118089803107379	0	0	0.00185896802095842	0.00113081414704899	0.00200714264145367	0.00147335669475063	0.000896278519510934	0.00159072802777631	0.000849921361526006	0.000517058086026439	0.000917565792410512	0.00228725138160919	0.000245718266465
"ENSG00000113575"	0.0128	-0.0632308	0.311616	0.8392	0.000544	0.0017	0	1	0	1	-0.202912559047032	0	0.124227999025592	0	0	0.000784490307281312	0.000580085452931788	0.000867134771985733	0.000694537636866546	0.000513585722361133	0.000767697289236154	0.000702564684847067	0.00051952007444234	0.000776570637973541	0.000979151551384136	0.000136004272455908
"ENSG00000170464"	0.0864	0.0453195	0.103148	0.6604	0.07561	0.0021	0.0673	0.946	0.185428685027674	0.8529	0.439363826734401	0	0.17158245454197	0	0	0.00164557082616202	0.00126779291125493	0.00180016671899605	0.00147935884405019	0.00113980509963357	0.00161830427220134	0.000713929402981267	0.000550210620506699	0.000780904934203609	0.00214090512009232	0.000241927659884901
