"gene_id"	"coloc"	"SMR.b"	"SMR.se"	"SMR.p"	"fastenloc"	"ecaviar"	"TWAS.Z"	"TWAS.P"	"PrediXcan.Z"	"PrediXcan.P"	"SMR.z"	"IS_POSITIVE"	"smrqvalue"	"twasqvalue"	"predixcanqvalue"	"intact_coloc_predixcan"	"intact_coloc_smr"	"intact_coloc_twas"	"intact_fastenloc_predixcan"	"intact_fastenloc_smr"	"intact_fastenloc_twas"	"intact_ecaviar_predixcan"	"intact_ecaviar_smr"	"intact_ecaviar_twas"	"intact_classmax"	"intact_classmean"
"ENSG00000145817"	0.1017	-0.0293586	0.104676	0.7791	0.031	0.0018	0.0114	0.9909	-0.205144337345073	0.8375	-0.280471168176086	0	0.863949680096214	1	1	0.00191840684874531	0.00141577935465112	0.00208982296293085	0.000953816048512436	0.000704128990341611	0.00103890678100809	0.000713731208597519	0.000526932920741638	0.00077737845520734	0.00239125093871107	0.000230084786217581
"ENSG00000248323"	0.1577	-0.308321	0.171117	0.07157	0.1697	0.0027	-1.883	0.0597	0	1	-1.80181396354541	0	0.387807549222846	0.422845562130178	1	0.00326972824465593	0.00766068188103976	0.0129493763435131	0.00367354573407966	0.00860007825844213	0.0145325488842995	0.000709582841238245	0.00167075626447316	0.00283009676762945	0.0161619617470037	0.000867254841810119
"ENSG00000221886"	0.012	0.188626	0.285043	0.5081	8e-04	0.0015	0	1	0	1	0.661745771690587	1	0.779782443154554	1	1	0.00077828091805379	0.000661881394734706	0.000860270580167886	0.000696307357376284	0.000592189032583524	0.00076965359187961	0.000701169354985276	0.000596322750016244	0.000775028195648417	0.00111714805857293	0.000140291080629763
"ENSG00000249364"	0.0857	-0.22348	0.141091	0.1132	0.0534	0.0019	-1.187	0.2351	-1.6210355758667	0.105	-1.58394227838771	0	0.489019991476762	0.815694782608696	0.751997647058824	0.00414348970023045	0.0028923834301337	0.00294298477313092	0.00301331127961609	0.00210328103670374	0.00213933714236856	0.00180907118369566	0.00126261311939628	0.00128378482540461	0.00509560515729845	0.000498403149189649
"ENSG00000168724"	0.2267	-0.273972	0.139963	0.05029	0.1351	0.0037	-2.0259	0.04277	-2.31620373929815	0.02055	-1.95746018590628	1	0.321154496976141	0.353073724137931	0.2562328125	0.0439694613496065	0.0183165066817495	0.030543155803106	0.0185960236634228	0.00764514512921806	0.0128029500309919	0.00514050945106887	0.00209877432910137	0.00352254302391624	0.0537014510175711	0.00296171969747291
"ENSG00000272057"	0.0459	-0.063194	0.0801217	0.4303	0.072	0.0015	-0.756	0.449	-0.829863429069519	0.4066	-0.788725151862729	0	0.738072338389705	1	1	0.00138921665799586	0.000988830575069376	0.00147308097458579	0.00179837623508334	0.00127997607315376	0.00190703326472625	0.000894208989784813	0.000636543325319222	0.000948134989268985	0.00221258955888414	0.000254955044998444
"ENSG00000138829"	0.0643	0.140825	0.126517	0.2657	0.0502	0.0019	0.256	0.798	1.02225813024434	0.3067	1.11309152129753	0	0.634730163332972	1	1	0.00189213843119471	0.00147820204568258	0.0014784612557439	0.00164584050121582	0.00128584500399156	0.00128589194037465	0.00101935159250149	0.000796481547522983	0.000796229405315597	0.00249499434707618	0.000259654153052486
"ENSG00000113716"	0.0808	-0.0110738	0.0702914	0.8748	0.0326	0.0018	-0.686	0.4926	-0.73288043435184	0.4636	-0.157541320844371	0	0.881910196892621	1	1	0.00185896802095842	0.00113081414704899	0.00200714264145367	0.0011539313552242	0.000701985477895602	0.00124581300352366	0.000849921361526006	0.000517058086026439	0.000917565792410512	0.00228725138160919	0.000231178232612577
"ENSG00000113575"	0.0128	-0.0632308	0.311616	0.8392	4e-04	0.0017	0	1	0	1	-0.202912559047032	0	0.875772000974408	1	1	0.000784490307281312	0.000580085452931788	0.000867134771985733	0.00069354413465567	0.000512851229518396	0.000766599042178963	0.000702564684847067	0.00051952007444234	0.000776570637973541	0.000979151551384136	0.000135955663029122
"ENSG00000170464"	0.0864	0.0453195	0.103148	0.6604	0.0425	0.0021	0.0673	0.946	0.185428685027674	0.8529	0.439363826734401	0	0.82841754545803	1	1	0.00164557082616202	0.00126779291125493	0.00180016671899605	0.0010661286523302	0.000821541758454927	0.00116619894385071	0.000713929402981267	0.000550210620506699	0.000780904934203609	0.00214090512009232	0.000222924256056522
