gene_id	GRCP	GLCP	IS_POSITIVE
ENSG00000145817	0.05587	0.05735	0
ENSG00000248323	0.1704	0.1704	0
ENSG00000221886	0.0009288	0.0009288	1
ENSG00000249364	0.06349	0.06538	0
ENSG00000168724	0.1383	0.1389	1
ENSG00000272057	0.0719	0.07423	0
ENSG00000138829	0.06389	0.07613	0
ENSG00000113716	0.05727	0.05727	0
ENSG00000113575	0.0005395	0.000544	0
ENSG00000170464	0.06965	0.07561	0
ENSG00000146083	0.002272	0.002272	0
ENSG00000079215	0.1291	0.133	0
ENSG00000254042	0.06546	0.06681	0
ENSG00000145864	0.0002589	0.0002918	0
ENSG00000113504	0.1584	0.164	0
ENSG00000131459	0.5152	0.5171	1
ENSG00000272109	0.08117	0.08187	0
ENSG00000173221	0.9179	0.9458	1
ENSG00000164512	0.1148	0.1429	0
ENSG00000113231	0.2119	0.2119	0
ENSG00000205089	0.05132	0.06469	0
ENSG00000213430	0.000272	0.000272	0
ENSG00000055147	0.00623	0.00623	1
ENSG00000164615	0.0006011	0.0006437	0
ENSG00000254373	0.0153	0.01709	0
ENSG00000170561	0.06242	0.06242	0
ENSG00000183876	0.01872	0.02011	0
ENSG00000122008	0.006315	0.007989	0
ENSG00000113456	0.1871	0.1871	0
ENSG00000037749	0.02013	0.02365	0
ENSG00000280420	0.09056	0.0924	0
ENSG00000175471	0.04074	0.04074	0
ENSG00000049656	0.02376	0.02406	0
ENSG00000145936	0.03417	0.03417	1
ENSG00000251666	0.04587	0.05091	0
ENSG00000186105	0.0009405	0.0009608	0
ENSG00000183666	0.03687	0.03687	0
ENSG00000170085	0.001909	0.002082	0
ENSG00000113615	0.1183	0.1225	0
ENSG00000245688	0.05562	0.05739	0
ENSG00000049860	0.939	0.939	1
ENSG00000280159	0.035	0.035	0
ENSG00000113360	0.09799	0.1067	0
ENSG00000120725	0.05771	0.05854	0
ENSG00000250961	0.03614	0.03781	0
ENSG00000151388	0.03129	0.03819	0
ENSG00000198055	0.5197	0.552	0
ENSG00000247627	0.3369	0.3411	0
ENSG00000213763	0.1498	0.1498	0
ENSG00000222448	0.07752	0.08816	0
ENSG00000120324	0.1183	0.1225	0
ENSG00000078795	0.03718	0.03729	0
ENSG00000279400	0.05472	0.05981	0
ENSG00000271752	0.05733	0.05734	0
ENSG00000145741	0.107	0.1081	0
ENSG00000251495	0.1122	0.1126	0
ENSG00000249899	0.02288	0.02456	0
ENSG00000145623	0.07589	0.08513	0
ENSG00000038274	0.03455	0.03526	0
ENSG00000171444	0.1719	0.1724	0
ENSG00000249412	0.03739	0.0381	0
ENSG00000253966	0.03039	0.0326	0
ENSG00000248126	0.08163	0.08163	0
ENSG00000113600	0.00108	0.001097	0
ENSG00000185056	0.008412	0.008412	0
ENSG00000272130	0.1117	0.1128	0
ENSG00000072682	0.07252	0.08143	0
ENSG00000184845	0.01761	0.01812	0
ENSG00000161013	0.09382	0.1015	0
ENSG00000113643	0.1291	0.1291	0
ENSG00000249119	0.06335	0.06645	0
ENSG00000113749	0.1514	0.1542	0
ENSG00000146021	0.4312	0.4315	1
ENSG00000157510	0.0602	0.0602	0
ENSG00000227908	0.03466	0.03646	0
ENSG00000218227	0.0482	0.06173	0
ENSG00000067248	0.272	0.272	0
ENSG00000113108	0.04562	0.04637	0
ENSG00000204764	0.07884	0.07897	0
ENSG00000133835	0.04205	0.04221	0
ENSG00000019582	0.0009491	0.0009992	0
ENSG00000145782	0.02026	0.02353	0
ENSG00000244073	0.02035	0.02035	0
ENSG00000152932	0.04151	0.04152	0
ENSG00000175745	0.0006968	0.0007471	0
ENSG00000250764	0.1145	0.1145	0
ENSG00000204659	0.04726	0.05356	0
ENSG00000234290	0.4991	0.62	1
ENSG00000135083	0.02546	0.02552	0
ENSG00000169570	0.01264	0.01269	0
ENSG00000146001	0.0123	0.02288	0
ENSG00000131507	0.0618	0.0618	0
ENSG00000249494	0.02716	0.02716	0
ENSG00000186468	0.07428	0.07451	0
ENSG00000168903	0.2369	0.2369	0
ENSG00000120149	0.03222	0.03258	0
ENSG00000145736	0.05526	0.05529	0
ENSG00000187678	0.0002694	0.0002694	0
ENSG00000068796	0.03438	0.03438	0
ENSG00000231185	0.01792	0.01868	0
ENSG00000132837	0.158	0.1601	0
ENSG00000015479	0.1342	0.1419	0
ENSG00000254245	0.1233	0.1235	0
ENSG00000181751	0.02382	0.03224	0
ENSG00000272108	0.1067	0.1157	0
ENSG00000043462	0.09206	0.09206	0
ENSG00000226040	0.02952	0.02952	0
ENSG00000176049	0.04122	0.04125	0
ENSG00000164300	0.0002115	0.0004198	0
ENSG00000150712	0.03322	0.03457	0
ENSG00000164327	0.1366	0.1366	0
ENSG00000049167	0.02978	0.03447	0
ENSG00000145794	0.04129	0.0414	0
ENSG00000251076	0.04154	0.04398	0
ENSG00000081059	0.06234	0.06788	0
ENSG00000272523	0.0904	0.09042	1
ENSG00000134056	0.04182	0.04248	0
ENSG00000155858	0.01528	0.01528	0
ENSG00000164307	0.02581	0.0259	0
ENSG00000112972	0.07893	0.08377	0
ENSG00000087116	0.1006	0.1011	1
ENSG00000250240	0.03013	0.0329	0
ENSG00000164404	0.0634	0.06558	0
ENSG00000134057	0.02022	0.02533	0
ENSG00000249167	0.1029	0.1032	0
ENSG00000247572	0.06121	0.07263	0
ENSG00000048140	0.06089	0.06123	0
ENSG00000178913	0.02524	0.02524	1
ENSG00000164466	0.1164	0.1168	0
ENSG00000170469	0.1479	0.1813	0
ENSG00000164330	0.02763	0.02784	0
ENSG00000164252	0.02617	0.02843	1
ENSG00000123213	0.9302	0.9302	1
ENSG00000185261	0.08143	0.09461	1
ENSG00000113209	0.02825	0.02959	0
ENSG00000171421	0.01233	0.01277	0
ENSG00000170091	0.06179	0.06179	0
ENSG00000155846	0.06472	0.06909	0
ENSG00000169777	0.01706	0.01706	0
ENSG00000178187	0.228	0.2402	0
ENSG00000250602	0.7277	0.728	1
ENSG00000261934	0.9175	0.9448	1
ENSG00000156463	0.03668	0.04073	0
ENSG00000279370	0.03958	0.06636	1
ENSG00000164904	0.05659	0.05659	0
ENSG00000086189	0.06037	0.06602	0
ENSG00000176018	0.0004788	0.0004788	0
ENSG00000250329	0.0002757	0.0002908	0
ENSG00000131504	0.00494	0.004979	0
ENSG00000152684	0.02129	0.022	0
ENSG00000228672	0.7155	0.9912	1
ENSG00000070808	0.06314	0.06343	0
ENSG00000243304	0.06912	0.07343	0
ENSG00000113194	0.0107	0.01127	0
ENSG00000247679	0.1563	0.1698	0
ENSG00000176055	0.009891	0.009891	0
ENSG00000170445	0.6249	0.652	1
ENSG00000197822	0.06878	0.07278	0
ENSG00000250337	0.05099	0.05099	0
ENSG00000204965	0.2901	0.3174	0
ENSG00000251664	0.1144	0.1144	0
ENSG00000272049	0.9312	0.9312	1
ENSG00000127184	0.07448	0.07779	0
ENSG00000112852	0.04736	0.04765	0
ENSG00000164185	8.61e-05	0.0001392	0
ENSG00000172058	0.004387	0.004409	0
ENSG00000145569	0.1244	0.1282	0
ENSG00000145604	0.0904	0.09168	0
ENSG00000156475	0.03168	0.03294	0
ENSG00000251556	0.6931	0.6931	1
ENSG00000168944	0.05537	0.05826	0
ENSG00000253404	0.07161	0.07242	0
ENSG00000224993	0.0361	0.03774	0
ENSG00000244363	0.05235	0.05235	0
ENSG00000175416	0.982	0.9862	1
ENSG00000145723	0.007441	0.009217	0
ENSG00000177932	0.02253	0.02292	0
ENSG00000113302	0.1085	0.1953	1
ENSG00000134352	0.03635	0.03723	0
ENSG00000113593	0.1564	0.1589	0
ENSG00000247796	0.02013	0.02387	0
ENSG00000249797	0.005503	0.005586	0
ENSG00000204969	0.05284	0.05395	0
ENSG00000164251	0.01549	0.01725	0
ENSG00000253910	0.5901	0.5905	1
ENSG00000155850	0.04272	0.04338	0
ENSG00000172262	0.009172	0.01034	0
ENSG00000113161	0.02807	0.02927	0
ENSG00000027847	0.03688	0.03688	0
ENSG00000248668	0.0282	0.03143	0
ENSG00000050748	0.9844	0.9866	1
ENSG00000151882	0.04061	0.04188	0
ENSG00000164402	0.07469	0.07475	0
ENSG00000223361	0.05964	0.06504	0
ENSG00000170234	0.1171	0.1171	0
ENSG00000271828	0.05546	0.1858	0
ENSG00000230612	0.05137	0.05394	1
ENSG00000145495	0.02247	0.02518	0
ENSG00000040275	0.03406	0.03456	0
ENSG00000164241	0.1744	0.1787	1
ENSG00000083720	0.0005056	0.0005059	0
ENSG00000164180	0.3859	0.3859	0
ENSG00000129596	0.01677	0.01766	0
ENSG00000074276	0.9962	0.9988	1
ENSG00000158985	0.01015	0.01048	0
ENSG00000171530	0.03667	0.03667	0
ENSG00000279737	0.06628	0.06628	1
ENSG00000113638	0.04952	0.04961	0
ENSG00000178722	0.08609	0.09823	0
ENSG00000260581	0.02894	0.02991	0
ENSG00000113719	0.03814	0.03814	0
ENSG00000123219	0.0002526	0.0002526	0
ENSG00000269961	0.02849	0.02849	0
ENSG00000113595	0.02879	0.03058	0
ENSG00000134986	0.0457	0.0492	0
ENSG00000215325	0.0324	0.03267	0
ENSG00000145907	0.08073	0.09814	0
ENSG00000253141	0.05171	0.05817	0
ENSG00000146063	0.007156	0.007431	0
ENSG00000113578	0.01697	0.01707	0
ENSG00000242198	0.1037	0.132	0
ENSG00000236714	0.07757	0.07815	0
ENSG00000271874	0.1297	0.1335	0
ENSG00000244245	0.009125	0.009252	0
ENSG00000271207	0.9862	0.9862	1
ENSG00000082515	0.01565	0.01634	0
ENSG00000037241	0.1067	0.1265	0
ENSG00000091010	0.0001056	0.0001094	0
ENSG00000273841	0.03709	0.03709	0
ENSG00000197603	0.00835	0.008685	0
ENSG00000248927	0.04661	0.1328	0
ENSG00000131730	0.07031	0.07959	0
ENSG00000253520	0.008606	0.009971	0
ENSG00000259663	0.5164	0.5758	1
ENSG00000081189	0.02133	0.03005	0
