Signal	Num_SNP	CPIP_qtl	CPIP_gwas_marginal	CPIP_gwas_qtl_prior	RCP	LCP	gene_id	chrom	IS_POSITIVE
ENSG00000145817:2(@)loc_5_83	34	0.9901	0.01	0.0308	0.0298	0.031	ENSG00000145817	5	0
ENSG00000248323:1(@)loc_5_52	11	0.9865	0.0012	0.1711	0.1697	0.1697	ENSG00000248323	5	0
ENSG00000221886:1(@)loc_5_93	1	0.0253	0.0002	0.0009	0.0008	0.0008	ENSG00000221886	5	1
ENSG00000249364:1(@)loc_5_39	35	0.9952	0.0151	0.0549	0.0534	0.0534	ENSG00000249364	5	0
ENSG00000168724:1(@)loc_5_22	6	0.9997	0.0063	0.1358	0.1351	0.1351	ENSG00000168724	5	1
ENSG00000272057:1(@)loc_5_10	18	0.9893	0.0007	0.0717	0.0705	0.072	ENSG00000272057	5	0
ENSG00000138829:1(@)loc_5_76	32	0.9898	0.0146	0.045	0.0434	0.0502	ENSG00000138829	5	0
ENSG00000113716:2(@)loc_5_86	10	0.9997	0.0032	0.0329	0.0326	0.0326	ENSG00000113716	5	0
ENSG00000113575:1(@)loc_5_79	1	0.0123	0.0001	0.0004	0.0004	0.0004	ENSG00000113575	5	0
ENSG00000170464:2(@)loc_5_81	20	0.9999	0.0078	0.0377	0.0369	0.0425	ENSG00000170464	5	0
ENSG00000146083:1(@)loc_5_104	4	0.9925	0.0001	0.0016	0.0016	0.0016	ENSG00000146083	5	0
ENSG00000079215:2(@)loc_5_23	72	0.9999	0.0021	0.0669	0.0625	0.0663	ENSG00000079215	5	0
ENSG00000254042:1(@)loc_5_99	1	0.9974	0.0002	0.0575	0.0575	0.0575	ENSG00000254042	5	0
ENSG00000145864:2(@)loc_5_94	5	0.0081	0.0019	0.0004	0.0003	0.0003	ENSG00000145864	5	0
ENSG00000113504:1(@)loc_5_0	5	0.9837	0.0014	0.1552	0.1545	0.1601	ENSG00000113504	5	0
ENSG00000131459:1(@)loc_5_107	59	0.9854	0.1225	0.5246	0.501	0.501	ENSG00000131459	5	1
ENSG00000272109:1(@)loc_5_55	2	0.9936	0.001	0.0539	0.0538	0.0545	ENSG00000272109	5	0
ENSG00000173221:1(@)loc_5_55	3	0.9939	0.453	0.9216	0.9179	0.9458	ENSG00000173221	5	1
ENSG00000164512:1(@)loc_5_31	317	0.9982	0.0247	0.0914	0.0691	0.0926	ENSG00000164512	5	0
ENSG00000113231:2(@)loc_5_43	1	0.9974	0.0024	0.1924	0.1924	0.1924	ENSG00000113231	5	0
ENSG00000205089:1(@)loc_5_78	14	0.9932	0.0002	0.0427	0.042	0.0553	ENSG00000205089	5	0
ENSG00000213430:2(@)loc_5_14	6	0.0066	0.0024	0.0005	0.0003	0.0003	ENSG00000213430	5	0
ENSG00000055147:1(@)loc_5_88	9	0.1455	0.0016	0.0055	0.0052	0.0052	ENSG00000055147	5	1
ENSG00000164615:2(@)loc_5_79	11	0.0294	0.0024	0.0008	0.0006	0.0006	ENSG00000164615	5	0
ENSG00000254373:1(@)loc_5_92	37	0.2201	0.014	0.0159	0.0133	0.0151	ENSG00000254373	5	0
ENSG00000170561:1(@)loc_5_1	34	0.998	0.0203	0.0644	0.0624	0.0624	ENSG00000170561	5	0
ENSG00000183876:1(@)loc_5_87	13	0.1799	0.0007	0.0101	0.0095	0.0095	ENSG00000183876	5	0
ENSG00000122008:1(@)loc_5_43	11	0.9968	0.0005	0.0062	0.0062	0.0078	ENSG00000122008	5	0
ENSG00000113456:2(@)loc_5_22	1	0.998	0.0015	0.1601	0.1601	0.1601	ENSG00000113456	5	0
ENSG00000037749:1(@)loc_5_88	37	0.9975	0.0089	0.0209	0.0201	0.0236	ENSG00000037749	5	0
ENSG00000280420:2(@)loc_5_79	24	0.9982	0.0027	0.0495	0.0484	0.0503	ENSG00000280420	5	0
ENSG00000175471:1(@)loc_5_54	1	0.313	0.0003	0.0402	0.0401	0.0401	ENSG00000175471	5	0
ENSG00000049656:1(@)loc_5_0	13	0.9919	0.0032	0.024	0.0238	0.0241	ENSG00000049656	5	0
ENSG00000145936:1(@)loc_5_100	43	0.0882	0.0586	0.0529	0.0337	0.0337	ENSG00000145936	5	1
ENSG00000251666:1(@)loc_5_105	15	0.9995	0.0016	0.0375	0.0369	0.042	ENSG00000251666	5	0
ENSG00000186105:1(@)loc_5_35	3	0.0111	0.0003	0.0009	0.0007	0.0007	ENSG00000186105	5	0
ENSG00000183666:1(@)loc_5_14	2	0.9915	0.0009	0.0369	0.0369	0.0369	ENSG00000183666	5	0
ENSG00000170085:2(@)loc_5_104	29	0.0303	0.0179	0.0036	0.0017	0.0019	ENSG00000170085	5	0
ENSG00000113615:1(@)loc_5_79	6	0.9964	0.0084	0.1188	0.1182	0.1224	ENSG00000113615	5	0
ENSG00000245688:1(@)loc_5_105	2	0.992	0.0003	0.0548	0.0547	0.0565	ENSG00000245688	5	0
ENSG00000049860:1(@)loc_5_42	3	0.9953	0.3496	0.9376	0.9361	0.9361	ENSG00000049860	5	1
ENSG00000280159:1(@)loc_5_30	19	0.9953	0.0073	0.0355	0.0349	0.0349	ENSG00000280159	5	0
ENSG00000113360:2(@)loc_5_20	22	0.9997	0.0037	0.0573	0.0559	0.0642	ENSG00000113360	5	0
ENSG00000120725:1(@)loc_5_81	5	0.9761	0.0006	0.0422	0.0421	0.0421	ENSG00000120725	5	0
ENSG00000250961:1(@)loc_5_32	8	0.9989	0.0014	0.0289	0.0287	0.0288	ENSG00000250961	5	0
ENSG00000151388:1(@)loc_5_21	8	0.9729	0.002	0.0237	0.0234	0.0304	ENSG00000151388	5	0
ENSG00000198055:2(@)loc_5_105	21	0.978	0.2118	0.4961	0.4848	0.519	ENSG00000198055	5	0
ENSG00000247627:1(@)loc_5_79	2	0.9999	0.0015	0.2986	0.2983	0.2983	ENSG00000247627	5	0
ENSG00000213763:1(@)loc_5_44	1	0.9986	0.0002	0.1403	0.1403	0.1403	ENSG00000213763	5	0
ENSG00000222448:1(@)loc_5_106	143	0.9939	0.0129	0.0881	0.0772	0.0878	ENSG00000222448	5	0
ENSG00000120324:1(@)loc_5_82	5	0.9999	0.0006	0.0791	0.0789	0.0789	ENSG00000120324	5	0
ENSG00000078795:1(@)loc_5_80	1	0.9943	0.0003	0.0317	0.0317	0.0317	ENSG00000078795	5	0
ENSG00000279400:1(@)loc_5_23	40	0.9744	0.0013	0.0555	0.0533	0.0581	ENSG00000279400	5	0
ENSG00000271752:1(@)loc_5_28	1	0.996	0.0005	0.0571	0.0571	0.0571	ENSG00000271752	5	0
ENSG00000145741:1(@)loc_5_42	20	1.0	0.0034	0.0713	0.07	0.07	ENSG00000145741	5	0
ENSG00000251495:1(@)loc_5_46	24	0.9954	0.0034	0.1143	0.1118	0.1122	ENSG00000251495	5	0
ENSG00000249899:1(@)loc_5_29	93	0.9835	0.0223	0.025	0.0229	0.0246	ENSG00000249899	5	0
ENSG00000145623:1(@)loc_5_24	5	0.9953	0.0008	0.076	0.0756	0.0849	ENSG00000145623	5	0
ENSG00000038274:1(@)loc_5_95	1	0.9957	0.0002	0.0179	0.0179	0.0179	ENSG00000038274	5	0
ENSG00000171444:1(@)loc_5_65	1	0.9999	0.0001	0.1135	0.1135	0.1135	ENSG00000171444	5	0
ENSG00000249412:1(@)loc_5_107	19	0.9943	0.0072	0.038	0.0374	0.0381	ENSG00000249412	5	0
ENSG00000253966:1(@)loc_5_100	8	0.9965	0.0025	0.0306	0.0304	0.0326	ENSG00000253966	5	0
ENSG00000248126:2(@)loc_5_0	13	0.9966	0.0032	0.0488	0.0485	0.0485	ENSG00000248126	5	0
ENSG00000113600:1(@)loc_5_24	4	0.0403	0.0014	0.0012	0.0011	0.0011	ENSG00000113600	5	0
ENSG00000185056:1(@)loc_5_102	54	0.0996	0.0041	0.0088	0.0058	0.0058	ENSG00000185056	5	0
ENSG00000272130:1(@)loc_5_14	13	0.9993	0.0092	0.0948	0.0941	0.0941	ENSG00000272130	5	0
ENSG00000072682:1(@)loc_5_78	142	0.9478	0.0187	0.0632	0.055	0.0625	ENSG00000072682	5	0
ENSG00000184845:1(@)loc_5_104	7	0.9914	0.0015	0.0177	0.0176	0.0181	ENSG00000184845	5	0
ENSG00000161013:2(@)loc_5_106	161	0.9999	0.0923	0.0769	0.0668	0.0736	ENSG00000161013	5	0
ENSG00000113643:1(@)loc_5_99	1	0.9932	0.0013	0.1063	0.1063	0.1063	ENSG00000113643	5	0
ENSG00000249119:2(@)loc_5_79	5	0.8682	0.0019	0.0322	0.0321	0.0353	ENSG00000249119	5	0
ENSG00000113749:2(@)loc_5_104	3	0.9981	0.0046	0.1392	0.1389	0.1392	ENSG00000113749	5	0
ENSG00000146021:1(@)loc_5_80	1	0.9856	0.0109	0.4299	0.4299	0.4299	ENSG00000146021	5	1
ENSG00000157510:1(@)loc_5_86	22	0.9933	0.0007	0.0606	0.0595	0.0595	ENSG00000157510	5	0
ENSG00000227908:1(@)loc_5_31	16	0.4358	0.0015	0.0352	0.0338	0.0356	ENSG00000227908	5	0
ENSG00000218227:1(@)loc_5_105	20	0.9855	0.0009	0.049	0.0478	0.0613	ENSG00000218227	5	0
ENSG00000067248:1(@)loc_5_30	3	0.9941	0.0087	0.2633	0.2629	0.2629	ENSG00000067248	5	0
ENSG00000113108:1(@)loc_5_81	7	1.0	0.0019	0.0267	0.0265	0.0268	ENSG00000113108	5	0
ENSG00000204764:2(@)loc_5_100	1	0.9962	0.0005	0.0449	0.0449	0.0449	ENSG00000204764	5	0
ENSG00000133835:1(@)loc_5_70	7	0.5714	0.006	0.0415	0.0411	0.0411	ENSG00000133835	5	0
ENSG00000019582:2(@)loc_5_87	13	0.0228	0.0034	0.0009	0.0006	0.0006	ENSG00000019582	5	0
ENSG00000145782:1(@)loc_5_67	5	0.9962	0.0011	0.0154	0.0153	0.0186	ENSG00000145782	5	0
ENSG00000244073:1(@)loc_5_23	10	0.9979	0.0021	0.0204	0.0202	0.0202	ENSG00000244073	5	0
ENSG00000152932:2(@)loc_5_33	38	0.9999	0.01	0.0341	0.0334	0.0334	ENSG00000152932	5	0
ENSG00000175745:2(@)loc_5_54	9	0.0232	0.0011	0.0006	0.0004	0.0005	ENSG00000175745	5	0
ENSG00000250764:1(@)loc_5_20	3	0.8988	0.0018	0.0989	0.0988	0.0988	ENSG00000250764	5	0
ENSG00000204659:2(@)loc_5_106	1	0.995	0.0004	0.0346	0.0346	0.0346	ENSG00000204659	5	0
ENSG00000234290:1(@)loc_5_78	72	0.9844	0.6194	0.5501	0.4991	0.62	ENSG00000234290	5	1
ENSG00000135083:1(@)loc_5_93	2	0.993	0.0006	0.0251	0.0251	0.0251	ENSG00000135083	5	0
ENSG00000169570:1(@)loc_5_71	4	0.1545	0.0006	0.0121	0.0118	0.0118	ENSG00000169570	5	0
ENSG00000146001:1(@)loc_5_82	23	0.976	0.0051	0.0126	0.0121	0.0227	ENSG00000146001	5	0
ENSG00000131507:1(@)loc_5_82	1	0.9983	0.0	0.0616	0.0616	0.0616	ENSG00000131507	5	0
ENSG00000249494:1(@)loc_5_70	2	0.9964	0.0006	0.0272	0.0272	0.0272	ENSG00000249494	5	0
ENSG00000186468:1(@)loc_5_47	9	0.997	0.0037	0.0459	0.0456	0.0456	ENSG00000186468	5	0
ENSG00000168903:2(@)loc_5_108	6	0.9713	0.0003	0.1302	0.1295	0.1295	ENSG00000168903	5	0
ENSG00000120149:2(@)loc_5_103	21	0.9923	0.0045	0.0184	0.018	0.0184	ENSG00000120149	5	0
ENSG00000145736:1(@)loc_5_41	1	0.9991	0.0003	0.0309	0.0309	0.0309	ENSG00000145736	5	0
ENSG00000187678:1(@)loc_5_83	1	0.0038	0.0001	0.0003	0.0003	0.0003	ENSG00000187678	5	0
ENSG00000068796:1(@)loc_5_35	14	0.9957	0.0037	0.0291	0.0288	0.0288	ENSG00000068796	5	0
ENSG00000231185:1(@)loc_5_83	38	0.3981	0.0022	0.0191	0.0174	0.0181	ENSG00000231185	5	0
ENSG00000132837:1(@)loc_5_44	3	0.9518	0.0001	0.091	0.0908	0.091	ENSG00000132837	5	0
ENSG00000015479:2(@)loc_5_81	58	0.997	0.0012	0.0735	0.0694	0.0756	ENSG00000015479	5	0
ENSG00000254245:2(@)loc_5_82	5	0.3482	0.0016	0.075	0.074	0.074	ENSG00000254245	5	0
ENSG00000181751:1(@)loc_5_59	128	0.863	0.0373	0.0274	0.0232	0.0316	ENSG00000181751	5	0
