gene_id	GRCP	GLCP	IS_POSITIVE
ENSG00000006837	0.007117	0.212	1
ENSG00000011083	0.01151	0.153	1
ENSG00000013561	1.963e-05	0.9965	0
ENSG00000015479	0.002377	0.143	0
ENSG00000016082	9.796e-10	1.0	0
ENSG00000019582	0.002599	0.3195	0
ENSG00000027847	0.0008732	0.8189	0
ENSG00000028310	0.00906	0.3655	0
ENSG00000031003	1.599e-14	1.0	0
ENSG00000035499	1.021e-07	1.0	0
ENSG00000037241	0.01089	0.2956	0
ENSG00000037280	0.004446	0.1422	0
ENSG00000037474	0.03625	0.1703	1
ENSG00000037749	7.461e-12	1.0	0
ENSG00000038274	0.0	1.0	0
ENSG00000038382	0.004061	0.3576	0
ENSG00000038427	0.004201	0.246	0
ENSG00000039123	6.699e-09	1.0	1
ENSG00000039139	9.33e-05	0.9896	0
ENSG00000039319	1.957e-10	1.0	0
ENSG00000039537	0.004333	0.5297	0
ENSG00000039560	0.005559	0.3777	0
ENSG00000039600	0.005799	0.2279	0
ENSG00000040275	0.0	1.0	0
ENSG00000043143	0.001164	0.6299	0
ENSG00000043462	0.0	1.0	0
ENSG00000044115	0.004927	0.1221	0
ENSG00000047188	0.002327	0.3212	0
ENSG00000048140	0.006137	0.2549	0
ENSG00000048162	0.001605	0.8393	0
ENSG00000049167	0.002271	0.3261	0
ENSG00000049192	0.0	1.0	0
ENSG00000049656	0.0	1.0	0
ENSG00000049860	0.9358	0.9864	1
ENSG00000049883	0.0	1.0	1
ENSG00000050748	0.9926	1.0	1
ENSG00000050767	0.003092	0.4046	0
ENSG00000051596	0.002237	0.5954	0
ENSG00000053108	1.998e-15	1.0	0
ENSG00000055147	0.009466	0.1547	1
ENSG00000055163	5.335e-06	0.9986	0
ENSG00000056097	0.01247	0.4807	0
ENSG00000058729	0.003343	0.1519	0
ENSG00000061455	0.04576	0.846	0
ENSG00000062194	0.002613	0.3154	0
ENSG00000063438	0.002785	0.2826	1
ENSG00000064651	0.0	1.0	0
ENSG00000064652	0.001308	0.6321	0
ENSG00000064692	0.004915	0.2947	0
ENSG00000066230	4.135e-06	0.9994	0
ENSG00000066583	0.00841	0.189	0
ENSG00000067113	0.01084	0.2903	0
ENSG00000067248	7.389e-05	0.998	0
ENSG00000068796	7.733e-10	1.0	0
ENSG00000069011	0.00425	0.1466	0
ENSG00000069020	0.001651	0.4595	0
ENSG00000070193	0.0001533	0.9719	0
ENSG00000070614	6.097e-06	0.9988	0
ENSG00000070808	0.004693	0.1189	0
ENSG00000070814	0.004303	0.2661	0
ENSG00000071539	4.441e-14	1.0	0
ENSG00000072364	0.002467	0.2215	0
ENSG00000072571	0.002222	0.0319	0
ENSG00000072682	0.002627	0.05671	0
ENSG00000072786	0.0004562	0.8981	0
ENSG00000072803	0.002132	0.3094	0
ENSG00000073578	0.005549	0.3227	0
ENSG00000074276	0.4264	0.994	1
ENSG00000074317	0.004143	0.1261	0
ENSG00000078295	0.9157	0.9974	1
ENSG00000078795	7.772e-16	1.0	0
ENSG00000079215	0.002336	0.2296	0
ENSG00000080709	0.008914	0.2721	0
ENSG00000081059	0.004308	0.09785	0
ENSG00000081189	3.1e-12	1.0	0
ENSG00000081791	0.1702	0.6568	1
ENSG00000081818	0.9662	1.0	1
ENSG00000081842	0.004394	0.2114	0
ENSG00000081853	2.563e-05	0.9934	0
ENSG00000082068	0.002939	0.283	0
ENSG00000082074	0.003354	0.0974	0
ENSG00000082196	0.006645	0.282	0
ENSG00000082213	0.002788	0.3828	0
ENSG00000082515	0.002498	0.3762	0
ENSG00000082516	3.389e-05	0.9912	0
ENSG00000083312	1.467e-05	0.9975	0
ENSG00000083720	0.004408	0.2393	0
ENSG00000085231	0.002685	0.1629	0
ENSG00000085365	0.004829	0.2617	0
ENSG00000086189	0.00131	0.7098	0
ENSG00000086200	0.005194	0.2294	0
ENSG00000086570	0.0	1.0	0
ENSG00000086589	1.227e-06	1.0	1
ENSG00000087116	0.004443	0.3506	1
ENSG00000087206	0.001853	0.4745	0
ENSG00000091009	9.974e-13	1.0	0
ENSG00000091010	0.005073	0.2116	0
ENSG00000092421	0.002132	0.2737	0
ENSG00000094755	0.002924	0.5635	0
ENSG00000094880	6.058e-07	0.9999	0
ENSG00000095015	4.519e-06	0.9996	0
ENSG00000112851	0.001349	0.5598	0
ENSG00000112852	0.002954	0.1836	0
ENSG00000112855	0.0078	0.2	1
ENSG00000112874	2.729e-05	0.9984	0
ENSG00000112877	8.037e-08	1.0	0
ENSG00000112893	0.002702	0.384	0
ENSG00000112902	0.005607	0.6027	0
ENSG00000112936	7.589e-06	0.9995	0
ENSG00000112941	0.0	1.0	0
ENSG00000112964	2.635e-09	1.0	0
ENSG00000112972	0.003575	0.2756	0
ENSG00000112977	0.002702	0.07231	0
ENSG00000112981	0.002139	0.7928	0
ENSG00000112983	0.0	1.0	0
ENSG00000112984	0.0007265	0.8225	0
ENSG00000112992	0.995	1.0	1
ENSG00000112996	0.002113	0.753	1
ENSG00000113013	0.0001784	0.9872	0
ENSG00000113048	0.9996	1.0	1
ENSG00000113068	0.005819	0.2057	0
ENSG00000113070	0.001109	0.798	0
ENSG00000113073	0.000766	0.8206	0
ENSG00000113083	0.0009125	0.7449	0
ENSG00000113088	0.002967	0.2546	0
ENSG00000113108	8.971e-06	0.9973	0
ENSG00000113119	0.007009	0.1675	0
ENSG00000113140	9.928e-05	0.9893	0
ENSG00000113141	0.02189	0.2738	0
ENSG00000113161	3.679e-12	1.0	0
ENSG00000113163	0.0	1.0	0
ENSG00000113194	2.248e-08	1.0	0
ENSG00000113205	2.744e-06	0.9993	0
ENSG00000113209	0.0	1.0	0
ENSG00000113211	0.91	1.0	1
ENSG00000113212	2.859e-12	1.0	0
ENSG00000113231	6.639e-08	1.0	0
ENSG00000113240	4.398e-08	1.0	0
ENSG00000113248	0.004178	0.2349	0
ENSG00000113249	0.02954	0.2179	1
ENSG00000113262	0.001994	0.9508	1
ENSG00000113263	4.988e-05	0.9968	0
ENSG00000113269	1.137e-06	0.9999	0
ENSG00000113272	7.451e-06	0.9991	0
ENSG00000113273	2.767e-07	0.9999	0
ENSG00000113282	0.004739	0.2947	0
ENSG00000113296	2.548e-08	1.0	0
ENSG00000113300	0.0001542	0.9749	0
ENSG00000113302	0.1962	0.3881	1
ENSG00000113303	0.0	1.0	0
ENSG00000113312	4.058e-06	0.999	0
ENSG00000113318	0.004221	0.2559	0
ENSG00000113319	7.159e-06	0.9982	0
ENSG00000113328	0.007376	0.1926	0
ENSG00000113356	1.3e-10	1.0	0
ENSG00000113360	0.004439	0.2493	0
ENSG00000113361	0.003453	0.3204	0
ENSG00000113368	0.004108	0.07408	1
ENSG00000113369	0.003817	0.1335	0
ENSG00000113384	2.27e-07	1.0	0
ENSG00000113387	0.00321	0.2641	0
ENSG00000113389	0.003005	0.2422	0
ENSG00000113391	0.0001568	0.9436	0
ENSG00000113396	1.679e-07	0.9999	0
ENSG00000113407	0.00237	0.2108	0
ENSG00000113441	2.066e-07	0.9999	0
ENSG00000113448	0.0008768	0.7685	0
ENSG00000113456	0.001626	0.4368	0
ENSG00000113460	0.002452	0.2274	0
ENSG00000113494	2.106e-05	0.9937	0
ENSG00000113504	0.01552	0.384	0
ENSG00000113522	0.001804	0.5475	0
ENSG00000113532	0.003101	0.1689	0
ENSG00000113552	7.083e-14	1.0	0
ENSG00000113555	0.3303	0.7286	1
ENSG00000113558	0.002663	0.3593	0
ENSG00000113569	0.0001706	0.9466	0
ENSG00000113575	0.002957	0.07458	0
ENSG00000113578	0.001445	0.7279	0
ENSG00000113580	0.009511	0.2401	0
ENSG00000113583	0.003973	0.2731	0
ENSG00000113593	0.002876	0.2796	0
ENSG00000113594	0.002948	0.2367	0
ENSG00000113595	0.0003553	0.8794	0
ENSG00000113597	0.003002	0.07968	0
ENSG00000113600	0.00307	0.3098	0
ENSG00000113615	1.536e-12	1.0	0
ENSG00000113621	0.00285	0.4265	0
ENSG00000113638	0.002432	0.2854	0
ENSG00000113643	0.0	1.0	0
ENSG00000113645	0.003923	0.3518	0
ENSG00000113648	0.00152	0.9845	1
ENSG00000113649	7.796e-07	1.0	0
ENSG00000113657	0.002531	0.2835	0
ENSG00000113658	6.195e-14	1.0	0
ENSG00000113712	2.357e-07	0.9999	0
ENSG00000113716	0.0	1.0	0
ENSG00000113719	0.0005772	0.9714	0
ENSG00000113721	0.0	1.0	0
ENSG00000113722	6.282e-06	0.9994	0
ENSG00000113732	0.002084	0.2966	0
ENSG00000113734	0.002083	0.2815	0
ENSG00000113739	0.00312	0.0955	0
ENSG00000113742	0.003312	0.3783	0
ENSG00000113749	5.107e-14	1.0	0
ENSG00000113758	0.01317	0.3121	0
ENSG00000113761	0.0001557	0.9926	1
ENSG00000113763	2.383e-05	0.9953	0
ENSG00000118322	0.01361	0.2285	0
ENSG00000118985	0.003164	0.07753	0
ENSG00000119048	0.003548	0.3059	1
ENSG00000120129	0.001739	0.6985	0
ENSG00000120137	0.002083	0.2663	0
ENSG00000120149	1.775e-07	0.9999	0
ENSG00000120306	0.003105	0.05457	1
ENSG00000120314	0.004282	0.2884	0
ENSG00000120318	0.001388	0.6176	0
ENSG00000120322	0.001119	0.6578	0
ENSG00000120324	0.005389	0.3729	0
ENSG00000120327	0.0004498	0.8669	0
ENSG00000120328	0.9867	0.9999	1
ENSG00000120329	0.01003	0.2467	0
ENSG00000120705	0.002263	0.5926	0
ENSG00000120708	1.26e-12	1.0	0
ENSG00000120709	0.003091	0.2812	0
ENSG00000120725	0.001768	0.4081	0
ENSG00000120727	0.00287	0.04086	0
ENSG00000120729	1.563e-06	0.9997	0
ENSG00000120733	0.0001227	0.9597	0
ENSG00000120738	3.274e-08	1.0	0
ENSG00000122008	0.001831	0.4038	0
ENSG00000122012	1.183e-05	0.9971	0
ENSG00000122203	0.003748	0.2702	0
ENSG00000123213	0.9752	0.998	1
ENSG00000123219	0.01934	0.3132	0
ENSG00000123643	0.0004602	0.9159	0
ENSG00000124275	3.102e-05	0.9951	0
ENSG00000124279	0.002239	0.196	0
ENSG00000125347	0.02075	0.3092	0
ENSG00000127022	0.002818	0.3375	0
ENSG00000127184	0.005339	0.1359	0
ENSG00000127743	1.513e-05	0.9955	0
ENSG00000129595	0.003124	0.3525	1
ENSG00000129596	0.004182	0.369	0
ENSG00000129625	0.003587	0.1852	0
ENSG00000130449	0.0001879	0.9725	0
ENSG00000131187	0.003232	0.2661	0
ENSG00000131188	0.004727	0.2745	0
ENSG00000131435	0.002985	0.06695	0
ENSG00000131437	1.074e-10	1.0	0
ENSG00000131446	0.0042	0.1538	0
ENSG00000131459	0.08837	0.3906	1
ENSG00000131495	1.159e-07	1.0	0
ENSG00000131503	0.005135	0.2309	0
ENSG00000131504	0.002967	0.1291	0
ENSG00000131507	0.001938	0.3041	0
ENSG00000131508	0.0	1.0	0
ENSG00000131711	1.041e-05	0.9971	0
ENSG00000131730	5.558e-08	1.0	0
ENSG00000131732	0.00291	0.1328	0
ENSG00000131844	0.0005911	0.8187	0
ENSG00000132356	1.562e-05	0.996	0
ENSG00000132357	0.002968	0.1727	0
ENSG00000132563	0.003887	0.2187	0
ENSG00000132570	0.002105	0.5656	1
ENSG00000132837	0.002883	0.3244	0
ENSG00000132840	0.0	1.0	0
ENSG00000132842	0.003446	0.2879	0
ENSG00000132846	0.2969	0.5108	1
ENSG00000132911	0.01223	0.3121	0
ENSG00000132912	0.00323	0.1046	0
ENSG00000133302	0.003813	0.05253	1
ENSG00000133398	9.029e-08	1.0	0
ENSG00000133401	0.00503	0.1478	0
ENSG00000133706	0.004287	0.3597	0
ENSG00000133710	0.005414	0.3157	0
ENSG00000133835	0.007252	0.5998	0
ENSG00000134056	7.503e-11	1.0	0
ENSG00000134057	3.442e-15	1.0	0
ENSG00000134058	0.1608	0.3995	1
ENSG00000134061	1.216e-13	1.0	0
ENSG00000134352	1.547e-10	1.0	0
ENSG00000134363	0.0021	0.2363	0
ENSG00000134480	0.007143	0.1948	1
ENSG00000134516	6.212e-09	1.0	0
ENSG00000134970	0.00316	0.283	0
ENSG00000134982	0.0	1.0	0
ENSG00000134986	2.449e-10	1.0	0
ENSG00000134987	2.81e-06	0.9993	0
ENSG00000135074	0.0	1.0	0
