gene_id	gene_name	zscore	effect_size	pvalue	var_g	pred_perf_r2	pred_perf_pval	pred_perf_qval	n_snps_used	n_snps_in_cov	n_snps_in_model	chrom	IS_POSITIVE	qvalue	PROB
ENSG00000145817	YIPF5	-0.205144337345073	-0.0421595831404994	0.8375	0.0475673898699499	NA	NA	NA	2	2	2	5	0	1	0
ENSG00000249364	RP11-434D9.1	-1.6210355758667	-0.673389840960687	0.105	0.0116515498129603	NA	NA	NA	1	1	1	5	0	0.751997647058824	0.248002352941176
ENSG00000168724	DNAJC21	-2.31620373929815	-1.18832708628052	0.02055	0.0075928788560592	NA	NA	NA	2	2	3	5	1	0.2562328125	0.7437671875
ENSG00000272057	CTB-40H15.4	-0.829863429069519	-166.080767527226	0.4066	5.06637308514901e-08	NA	NA	NA	1	1	2	5	0	1	0
ENSG00000138829	FBN2	1.02225813024434	0.230953260789414	0.3067	0.0403973648240388	NA	NA	NA	5	5	6	5	0	1	0
ENSG00000113716	HMGXB3	-0.73288043435184	-0.11911412482112	0.4636	0.0759872860693776	NA	NA	NA	4	4	5	5	0	1	0
ENSG00000170464	DNAJC18	0.185428685027674	0.029667334300732	0.8529	0.0794200002092137	NA	NA	NA	3	3	3	5	0	1	0
ENSG00000146083	RNF44	1.07507065837314	0.53500695917985	0.2823	0.0080885511387446	NA	NA	NA	2	2	2	5	0	1	0
ENSG00000079215	SLC1A3	-0.439936280263525	-0.0330840932799984	0.66	0.374037055108483	NA	NA	NA	2	2	4	5	0	1	0
ENSG00000113504	SLC12A7	-1.88848853111267	-0.991140549949713	0.05896	0.0072733199397865	NA	NA	NA	1	1	1	5	0	0.527662611940299	0.472337388059701
ENSG00000272109	CTD-2260A17.3	1.42974097602107	0.298680107110405	0.1528	0.0459756121158366	NA	NA	NA	2	2	2	5	0	0.862743396226415	0.137256603773585
ENSG00000173221	GLRX	4.53930330276489	0.605063898923912	5.644e-06	0.114400244049847	NA	NA	NA	1	1	1	5	1	0.00012746920754717	0.999872530792453
ENSG00000164512	ANKRD55	0.547319889068604	0.824743261633967	0.5842	0.0009437987888184	NA	NA	NA	1	1	2	5	0	1	0
ENSG00000113231	PDE8B	-0.0315191517576066	-0.0035056599686496	0.9749	0.164654369960584	NA	NA	NA	5	5	6	5	0	1	0
ENSG00000170561	IRX2	-1.77839195728302	-1.88829381314695	0.07534	0.0017761859653732	NA	NA	NA	1	1	1	5	0	0.613482857142857	0.386517142857143
ENSG00000122008	POLK	0.356028340109873	0.212113328582349	0.7218	0.0058163205137198	NA	NA	NA	2	2	3	5	0	1	0
ENSG00000113456	RAD1	1.17422632176836	0.153143727316476	0.2403	0.11804880753755	NA	NA	NA	4	4	4	5	0	1	0
ENSG00000037749	MFAP3	0.729395151138306	0.359844381527179	0.4658	0.0082559955211765	NA	NA	NA	1	1	2	5	0	1	0
ENSG00000280420	AC005355.3	-0.237013878856736	-0.0359620168705374	0.8126	0.087289847137741	NA	NA	NA	9	9	10	5	0	1	0
ENSG00000049656	CLPTM1L	-0.0147506894832813	-0.002115067568389	0.9882	0.0975590550703048	NA	NA	NA	5	5	6	5	0	1	0
ENSG00000251666	ZNF346-IT1	1.25921960186314	0.174589707513478	0.208	0.104347062360217	NA	NA	NA	2	2	2	5	0	0.968778210116731	0.0312217898832685
ENSG00000183666	GUSBP1	-1.55048302868603	-0.0845178077478419	0.121	0.676917639409896	NA	NA	NA	2	2	2	5	0	0.80465	0.19535
ENSG00000245688	CTB-26E19.1	0.885497812833604	0.139005161887081	0.3759	0.0814971386510748	NA	NA	NA	2	2	2	5	0	1	0
ENSG00000049860	HEXB	5.06795162510703	0.437424592853415	4.021e-07	0.263750916989812	NA	NA	NA	3	3	3	5	1	1.069586e-05	0.99998930414
ENSG00000280159	CTD-2591A1.1	1.44101655483246	0.390111057271997	0.1496	0.0273531978581639	NA	NA	NA	1	1	1	5	0	0.85272	0.14728
ENSG00000113360	DROSHA	0.558337626815729	0.197268077317421	0.5766	0.0160711867981601	NA	NA	NA	3	3	6	5	0	1	0
ENSG00000120725	SIL1	-0.712855815887451	-0.354659062088383	0.4759	0.0088921618898372	NA	NA	NA	1	1	1	5	0	1	0
ENSG00000250961	CTD-2023N9.1	0.726524419899488	0.377245125636023	0.4675	0.0074468817918304	NA	NA	NA	2	2	2	5	0	1	0
ENSG00000151388	ADAMTS12	-1.52657218609742	-0.806669242285883	0.1269	0.0071784142631121	NA	NA	NA	2	2	5	5	0	0.830050819672131	0.169949180327869
ENSG00000198055	GRK6	-2.28986606460175	-0.578203972172773	0.02203	0.034022708810453	NA	NA	NA	3	3	4	5	0	0.265734	0.734266
ENSG00000247627	MTND4P12	-2.4149956703186	-0.642100898687631	0.01574	0.0282510224142633	NA	NA	NA	1	1	1	5	0	0.207041538461538	0.792958461538462
ENSG00000213763	ACTBP2	-1.63834158963999	-0.344557444986127	0.1014	0.0462250092103266	NA	NA	NA	3	3	3	5	0	0.744636809815951	0.255363190184049
ENSG00000222448	RN7SKP150	1.29540085792542	0.192222085808377	0.1952	0.0911348224700488	NA	NA	NA	1	1	1	5	0	0.93184780876494	0.0681521912350598
ENSG00000120324	PCDHB10	1.26672131591311	0.129285339333948	0.2053	0.193077513928232	NA	NA	NA	4	4	6	5	0	0.966518823529412	0.0334811764705882
ENSG00000078795	PKD2L2	-0.44063812494278	-0.0806138664307085	0.6595	0.0613477209872173	NA	NA	NA	1	1	1	5	0	1	0
ENSG00000279400	CTD-2353F22.2	-0.300414768220932	-0.0891987832753591	0.7639	0.0228692790254244	NA	NA	NA	2	2	3	5	0	1	0
ENSG00000271752	RP11-269M20.3	1.39727461338043	0.158651488119564	0.1623	0.159215645322493	NA	NA	NA	1	1	1	5	0	0.876547533632287	0.123452466367713
ENSG00000145741	BTF3	-1.32302624854471	-0.499373549699544	0.1858	0.0140400550632795	NA	NA	NA	3	3	4	5	0	0.922832365145228	0.0771676348547718
ENSG00000251495	PPIAP11	1.48651923755837	0.163738076110606	0.1371	0.165407272263058	NA	NA	NA	2	2	2	5	0	0.841583076923077	0.158416923076923
ENSG00000249899	CTD-2175A23.1	0.446017192300462	0.222640766538518	0.6556	0.0088058986787506	NA	NA	NA	3	3	3	5	0	1	0
ENSG00000038274	MAT2B	-0.794641613960266	-0.0435609524270129	0.4268	0.668743657962311	NA	NA	NA	1	1	1	5	0	1	0
ENSG00000171444	MCC	-1.55609926826723	-0.290248005491172	0.1197	0.0576492652956109	NA	NA	NA	3	3	3	5	0	0.800451955307263	0.199548044692737
ENSG00000249412	CTC-563A5.2	-0.974927871694726	-0.244773997486994	0.3296	0.0319434160443963	NA	NA	NA	3	3	3	5	0	1	0
ENSG00000248126	CTD-2012J19.2	-0.184178264073093	-0.0929433479654289	0.8539	0.0078233469720489	NA	NA	NA	2	2	4	5	0	1	0
ENSG00000272130	RP11-360I2.1	-2.01744180433803	-0.178369512940448	0.04365	0.258904124255733	NA	NA	NA	5	5	5	5	0	0.439067647058824	0.560932352941176
ENSG00000184845	DRD1	-0.602368295192719	-0.247428679495307	0.5469	0.0119019089251801	NA	NA	NA	1	1	2	5	0	1	0
ENSG00000161013	MGAT4B	-1.45359271232992	-0.226524424956887	0.1461	0.0831213955721689	NA	NA	NA	6	6	6	5	0	0.848940291262136	0.151059708737864
ENSG00000113643	RARS	-2.25500679016113	-0.288972360505839	0.02413	0.122122703177268	NA	NA	NA	1	1	1	5	0	0.280423398058252	0.719576601941748
ENSG00000113749	HRH2	0.91485467693367	0.194275595757463	0.3603	0.0444843386070828	NA	NA	NA	8	8	9	5	0	1	0
ENSG00000146021	KLHL3	5.70764768166587	0.803790943397344	1.145e-08	0.0989384726711832	NA	NA	NA	4	4	6	5	1	3.9159e-07	0.99999960841
ENSG00000157510	AFAP1L1	0.394538620934529	0.0443602798429783	0.6932	0.159326264760103	NA	NA	NA	2	2	4	5	0	1	0
ENSG00000067248	DHX29	1.51145327091217	0.814675386491845	0.1307	0.0069437067227484	NA	NA	NA	1	1	2	5	0	0.836619786096257	0.163380213903743
ENSG00000113108	APBB3	0.396471592568541	0.127619145629162	0.6918	0.019417839277749	NA	NA	NA	4	4	5	5	0	1	0
ENSG00000204764	RANBP17	1.23785777297925	0.0694083553871217	0.2158	0.641330300308567	NA	NA	NA	4	4	4	5	0	0.997345945945946	0.00265405405405417
ENSG00000244073	RPS4XP6	0.179788974437532	0.0150511008664393	0.8573	0.288280267509641	NA	NA	NA	3	3	4	5	0	1	0
ENSG00000152932	RAB3C	0.592918655584234	0.0986040893173986	0.5532	0.0714856103144362	NA	NA	NA	3	3	3	5	0	1	0
ENSG00000175449	RFESD	-0.470221191644669	-0.511231738145237	0.6382	0.0017063278423653	NA	NA	NA	1	1	2	5	0	1	0
ENSG00000204659	CBY3	0.809857666492462	1200776810696116	0.418	9.13182762352052e-34	NA	NA	NA	1	1	2	5	0	1	0
ENSG00000234290	AC116366.6	8.86410809672318	0.634364847010883	7.712e-19	0.385977986167826	NA	NA	NA	7	7	9	5	1	6.59376e-17	1
ENSG00000146001	PCDHB18P	-0.515824496746063	-0.0932851334233119	0.606	0.0614065788949045	NA	NA	NA	2	2	2	5	0	1	0
ENSG00000131507	NDFIP1	-0.138854652643204	-0.0043287363742152	0.8896	2.0669973038078	NA	NA	NA	1	1	2	5	0	1	0
ENSG00000249494	CTB-161M19.4	1.58014786243439	0.417949965001536	0.1141	0.0289509667529114	NA	NA	NA	1	1	1	5	0	0.780090340909091	0.219909659090909
ENSG00000113448	PDE4D	2.28687020625242	1.32848770860678	0.0222	0.0059298322561289	NA	NA	NA	3	3	4	5	0	0.265734	0.734266
ENSG00000168903	BTNL3	0.600420534610748	0.0832707127115153	0.5482	0.104404815069296	NA	NA	NA	1	1	3	5	0	1	0
ENSG00000120149	MSX2	0.428873578983644	0.0336936083630929	0.668	0.325494229711706	NA	NA	NA	4	4	7	5	0	1	0
ENSG00000145736	GTF2H2	-0.621804171963689	-0.049940348107485	0.5341	0.341576987999092	NA	NA	NA	3	3	3	5	0	1	0
ENSG00000068796	KIF2A	0.57629806350148	0.0686898510203149	0.5644	0.14147900923761	NA	NA	NA	6	6	10	5	0	1	0
ENSG00000132837	DMGDH	0.998080151677975	0.128965689028284	0.3182	0.122239759676271	NA	NA	NA	3	3	3	5	0	1	0
ENSG00000015479	MATR3	-0.276728228878269	-0.0487845620228513	0.782	0.0646466723194181	NA	NA	NA	4	4	4	5	0	1	0
ENSG00000254245	PCDHGA3	0.476034113464859	0.135368558895781	0.6341	0.0261494856786035	NA	NA	NA	2	2	3	5	0	1	0
ENSG00000272108	AC005754.8	-0.643609254768406	-0.129599795942888	0.5198	0.0496046320200123	NA	NA	NA	5	5	6	5	0	1	0
ENSG00000043462	LCP2	1.53571515872245	0.142108901525395	0.1246	0.234102864071258	NA	NA	NA	4	4	4	5	0	0.819484615384615	0.180515384615385
ENSG00000226040	AC005740.3	-0.0428641385328443	-0.0191488927558346	0.9658	0.0101399043278785	NA	NA	NA	2	2	2	5	0	1	0
ENSG00000176049	JAKMIP2	-1.12270927429199	-0.258131381412705	0.2616	0.0379538220909706	NA	NA	NA	1	1	1	5	0	1	0
ENSG00000150712	MTMR12	-0.497615150373214	-0.0562018943784752	0.6188	0.157948571815933	NA	NA	NA	5	5	5	5	0	1	0
ENSG00000164327	RICTOR	2.23535895347595	0.366454290757581	0.02539	0.0743745946259965	NA	NA	NA	1	1	1	5	0	0.292229134615385	0.707770865384615
ENSG00000049167	ERCC8	0.482036530971527	0.302300781743715	0.6298	0.0052334235396399	NA	NA	NA	1	1	1	5	0	1	0
ENSG00000145794	MEGF10	-0.486192047595978	-0.368384466970925	0.6268	0.0038510644472057	NA	NA	NA	1	1	1	5	0	1	0
ENSG00000272523	LINC01023	2.30536222457886	7.51863686358965	0.02115	0.000187859523994	NA	NA	NA	1	1	1	5	1	0.260652857142857	0.739347142857143
ENSG00000134056	MRPS36	-1.16281151771545	-0.329438395624988	0.2449	0.0249936947308873	NA	NA	NA	1	1	1	5	0	1	0
ENSG00000112972	HMGCS1	-0.915737422963577	-0.265584409595253	0.3598	0.0238629404354718	NA	NA	NA	2	2	2	5	0	1	0
ENSG00000087116	ADAMTS2	1.11540710926056	0.383791218034127	0.2647	0.0169468676451298	NA	NA	NA	1	1	1	5	1	1	0
ENSG00000164404	GDF9	1.17590752766687	0.10135696511079	0.2396	0.273108794010917	NA	NA	NA	7	7	7	5	0	1	0
ENSG00000134057	CCNB1	0.54529881477356	0.346658108014878	0.5855	0.0049692111210921	NA	NA	NA	1	1	2	5	0	1	0
