PANEL	FILE	gene_id	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P	IS_POSITIVE	qvalue	PROB
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000145817.wgt.RDat	ENSG00000145817	5	144158159	144170714	0.230464	rs13360895	-5.97	rs9324918	0.1695	-9.67	0.281	2870	3	lasso	0.18	6.6e-23	0.0114	0.9909	0	1	0
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000248323.wgt.RDat	ENSG00000248323	5	91303029	91314402	0.088114	rs116215042	-3.01	rs2935515	0.06464	-6.11	1.883	1743	1	top1	0.065	4.9e-09	-1.883	0.0597	0	0.422845562130178	0.577154437869822
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000249364.wgt.RDat	ENSG00000249364	5	67379378	67805238	0.166194	rs55710167	-6.99	rs61428807	0.0998	7.24	-1.621	4189	6	lasso	0.11	6e-14	-1.187	0.2351	0	0.815694782608696	0.184305217391304
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000168724.wgt.RDat	ENSG00000168724	5	34929593	34958964	0.07661	rs991570	3.53	rs919309	0.08798	-7.44	2.026	4724	1	top1	0.088	7.8e-12	-2.0259	0.04277	1	0.353073724137931	0.646926275862069
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000272057.wgt.RDat	ENSG00000272057	5	14872332	14872713	0.30817	rs2921603	3.11	rs13180591	0.2942	-12.56	0.79	2754	5	lasso	0.3	1.1e-40	-0.756	0.449	0	1	0
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000138829.wgt.RDat	ENSG00000138829	5	128257909	128659185	0.185621	rs112526724	-5.39	rs6862723	0.118	-8.05	-1.12	3885	20	enet	0.13	1.5e-16	0.256	0.798	0	1	0
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000113716.wgt.RDat	ENSG00000113716	5	150000046	150053142	0.587546	rs57992290	9.41	rs6580598	0.415904	12.56	1.055	4580	5	lasso	0.46	8.1e-70	-0.686	0.4926	0	1	0
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000170464.wgt.RDat	ENSG00000170464	5	139408588	139444491	0.308503	rs2237075	8.76	rs10041640	0.18578	-9.73	-0.44	2624	6	lasso	0.22	4.2e-29	0.0673	0.946	0	1	0
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000146083.wgt.RDat	ENSG00000146083	5	176526697	176538025	0.045203	rs335452	20.09	rs13186759	0.0271	-5.47	-1.552	3983	4	lasso	0.075	2.5e-10	1.008	0.3133	0	0.905681927710843	0.0943180722891566
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000079215.wgt.RDat	ENSG00000079215	5	36606355	36688334	0.423028	rs114566253	-3.32	rs55962008	0.429	14.66	-0.4433	3952	10	lasso	0.48	1e-72	-0.224	0.822	0	1	0
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000254042.wgt.RDat	ENSG00000254042	5	168706567	168720884	0.193457	rs11134507	3.73	rs1862875	0.204	-9.62	-1.06	4420	1	top1	0.2	8.7e-27	1.06	0.291	0	0.879613636363636	0.120386363636364
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000113504.wgt.RDat	ENSG00000113504	5	1050376	1112035	0.105843	rs139592408	4.42	rs6889904	0.1005	-7.46	1.89	6633	1	top1	0.1	2.4e-13	-1.89	0.059	0	0.4210875	0.5789125
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000131459.wgt.RDat	ENSG00000131459	5	180300690	180353387	0.111016	rs12519726	-4.78	rs149074195	0.0481	-5.98	2.8202	5954	3	lasso	0.05	2.8e-07	-3.0276	0.00247	1	0.0335976136363636	0.966402386363636
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000272109.wgt.RDat	ENSG00000272109	5	96804353	96806105	0.223638	rs10079690	-4.31	rs60575087	0.12491	8.88	1.299	4620	6	lasso	0.17	1.3e-22	1.441	0.1495	0	0.675	0.325
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000173221.wgt.RDat	ENSG00000173221	5	95751319	95823005	0.241318	rs40091	-12.97	rs72777351	0.261	-11.57	-4.3564	3931	1	lasso	0.26	5.5e-35	4.356	1.32e-05	1	0.000272420689655172	0.999727579310345
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000164512.wgt.RDat	ENSG00000164512	5	56099678	56233359	0.180212	rs149808425	3.93	rs17648526	0.0408	-5.98	0.429	4921	6	lasso	0.079	8.3e-11	0.885	0.376	0	0.968411612903226	0.0315883870967743
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000205089.wgt.RDat	ENSG00000205089	5	132747445	132754403	0.075154	rs62385316	3.52	rs426991	0.0675	6.04	-0.0796	3717	1	top1	0.067	2.2e-09	-0.0796	0.9365	0	1	0
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000170561.wgt.RDat	ENSG00000170561	5	2745845	2751662	0.100883	rs4866618	16.8	rs3822364	0.0714	-6.88	1.778	5001	1	top1	0.071	7.7e-10	-1.78	0.0753	0	0.500745	0.499255
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000122008.wgt.RDat	ENSG00000122008	5	75511756	75601144	0.136778	rs10035371	4.37	rs370180	0.129	-8.38	-0.0602	4470	2	lasso	0.13	1.7e-17	0.0657	0.948	0	1	0
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000113456.wgt.RDat	ENSG00000113456	5	34905264	34918989	0.281205	rs1353251	4.24	rs840388	0.20459	10.67	0.5	4718	6	lasso	0.29	3.7e-39	1.402	0.161	0	0.69825	0.30175
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000280420.wgt.RDat	ENSG00000280420	5	134522613	134523096	0.235857	rs244657	-3.44	rs26367	0.1824	-9.96	0.47	3899	32	enet	0.2	1.6e-26	0.0941	0.9251	0	1	0
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000049656.wgt.RDat	ENSG00000049656	5	1317744	1345099	0.258799	rs463565	11.17	rs115689223	0.22566	-10.84	0.0798	6784	1	top1	0.23	1e-29	-0.0798	0.936	0	1	0
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000251666.wgt.RDat	ENSG00000251666	5	177051714	177052963	0.259413	rs138192266	4.68	rs6877945	0.2716	-11.83	-1.2698	4140	1	top1	0.27	2.2e-36	1.2698	0.2041	0	0.768541121495327	0.231458878504673
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000183666.wgt.RDat	ENSG00000183666	5	21341833	21589372	0.487351	rs58765913	-9.45	rs4866188	0.528	-16.3	1.577	2164	4	lasso	0.53	1.1e-83	-1.522	0.128	0	0.646481012658228	0.353518987341772
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000113615.wgt.RDat	ENSG00000113615	5	134648789	134727823	0.260936	rs13186808	10.8	rs258062	0.121	-7.92	-2.07	3749	5	lasso	0.12	4.1e-16	-0.934	0.35	0	0.952159090909091	0.0478409090909091
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000245688.wgt.RDat	ENSG00000245688	5	178438681	178443094	0.336736	rs11740486	-4.49	rs335487	0.2428	-11.29	-0.8614	6110	1	top1	0.24	3.7e-32	0.8614	0.389	0	0.984424947145877	0.0155750528541225
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000049860.wgt.RDat	ENSG00000049860	5	74640023	74722647	0.358077	rs10942684	-4.86	rs10942684	0.309962	-12.48	-4.857	4564	4	lasso	0.32	4.1e-44	5.054	4.32e-07	1	1.05531428571429e-05	0.999989446857143
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000280159.wgt.RDat	ENSG00000280159	5	54643557	54645987	0.277662	rs141969439	-5.31	rs78411742	0.1576	9.87	1.441	5266	1	lasso	0.18	6.1e-23	1.44	0.15	0	0.675	0.325
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000120725.wgt.RDat	ENSG00000120725	5	138946720	139293557	0.177188	rs113345883	-4.18	rs12719514	0.14136	-8.73	0.88499	2758	1	top1	0.14	1.9e-18	-0.88499	0.3762	0	0.968411612903226	0.0315883870967743
